id,Weight_kg,Height_m,Max_BPM,Avg_BPM,Resting_BPM,Session_Duration_hours,Calories_Burned,Fat_Percentage,Water_Intake_liters,Workout_Frequency_days_week,BMI
IZD-530,64.8,1.85,187,166,64,1.24,1678,28.7,1.9,3,12.73
TFI-519,102.4,1.5,173,156,55,1.44,453,17.5,1.6,4,18.23
XEK-622,99.1,1.72,182,169,62,1.14,1105,31.4,3.6,4,16.91
BGD-986,75.7,1.56,194,142,61,1.23,643,28.8,2.3,3,13.93
YBB-979,54.3,1.85,165,144,53,2,1740,26.6,3.7,4,20.04
TCN-334,53.3,1.73,172,144,71,1.1,1235,22.8,2.6,3,13.13
AII-971,40,1.75,181,155,50,2,998,27,1.8,,12.82
GZA-144,60.1,1.71,198,161,70,1.04,533,10.3,3.4,5,26.74
SLL-268,53.5,1.76,194,137,66,2,1395,13.1,2.3,5,17.16
FCG-213,103.1,1.72,168,166,59,1.07,978,23.1,1.9,2,16.79
GPW-510,58.6,2,165,169,57,2,1402,30,3.5,4,20.99
IPJ-056,43.3,1.69,176,158,53,1.31,500,23.7,1.5,2,13.83
KYZ-882,47.4,1.91,161,164,73,2,1206,26.6,3.5,5,15.36
TWH-731,62.8,1.71,182,153,70,2,816,15.8,,3,14.23
ONQ-050,63.4,1.83,196,169,71,1.66,466,28,3.4,2,24.61
PPM-326,99.5,1.79,186,122,56,1.45,1783,27.6,3.5,2,23.56
MCI-916,89.8,1.79,179,163,59,2,1098,28.2,1.7,3,12.32
WWG-255,48.6,1.72,177,156,70,1.39,708,25.4,3.4,3,20.42
WXN-269,64.6,2,196,137,73,0.85,704,21.4,2.5,3,22.43
AAE-272,78.4,1.66,182,168,70,1.67,495,10,2.5,3,19.29
QUM-878,47.1,1.87,165,132,68,0.72,674,31.7,3.2,2,34.98
PFU-570,49.6,1.87,190,137,54,1.6,1326,30.5,1.9,5,14.25
MCH-189,81.9,1.8,163,146,74,1.15,971,22.4,2.5,5,28.26
GHA-319,129.9,1.62,185,141,52,1.62,571,27.2,1.8,4,12.32
QSJ-617,96.9,1.8,163,132,56,0.94,748,21.7,2.5,4,24.29
PAB-714,88.9,1.6,182,148,74,1.39,1386,28.9,2.5,3,32.24
XUN-127,71.1,1.68,164,160,74,1.51,955,10,3.3,4,16.09
UQW-485,128.4,,166,169,50,1.53,914,16.7,2.8,3,13.01
ZMC-342,80.6,1.71,176,139,60,2,957,31,2.4,4,12.32
NWM-496,66,1.67,181,122,50,0.96,912,26.3,1.5,3,15.29
VRK-971,71.5,1.81,195,164,51,1.52,935,22,2.6,3,14.55
IRU-169,69.6,1.8,186,136,73,1.37,1081,28.6,2,5,21.14
LGV-947,40,1.67,162,146,59,1.04,807,24.1,1.5,3,13.05
FDI-705,55,1.88,176,131,74,2,1445,16.3,1.9,,26.04
TSR-064,56.1,1.91,167,122,70,1.4,1183,24.9,2.7,2,12.32
DCW-145,48.9,1.84,185,164,73,1.13,,27,1.5,3,22.64
RTN-766,68.4,1.86,175,129,66,1.99,895,20,3.6,5,16.16
MQU-491,86.2,1.93,167,145,62,1.74,640,18.6,3.3,3,29.48
QBV-958,53,1.83,199,129,74,0.88,540,11.9,3.1,4,15.29
UGG-459,60.8,1.77,169,130,74,1.1,1298,25.4,3.3,2,13.58
TMW-880,69.3,1.56,164,136,50,1.33,1084,30.7,3.4,3,23.56
EFE-103,54.1,1.76,178,127,65,1.42,501,29.2,3.7,4,22.15
OLJ-120,63.7,1.85,192,122,53,1.06,1032,24.4,2.5,3,13.95
WPV-771,71,1.72,192,128,59,1.44,1436,28.5,3.2,3,17.82
VZK-907,52.3,1.66,190,146,59,0.76,1186,21.4,3.3,2,15.38
OEV-078,84.3,1.6,173,127,72,0.8,911,24,3.3,5,13.86
QVR-989,97.2,1.73,175,165,72,1.15,707,14.3,1.5,,16.19
XQU-177,56.2,1.76,195,141,55,1.45,1195,23.9,3.2,4,22.61
RBV-521,107.6,1.5,,136,71,1.53,1062,10,2.3,5,23.77
KIV-641,67.7,1.73,188,162,54,1.76,954,18,3.2,3,16.07
HXZ-421,71.3,1.77,171,134,50,1.34,1239,35,2.5,3,18.17
DMY-492,74.2,1.71,199,150,57,1.05,1166,34.5,3.3,,12.32
DBC-997,58.2,1.85,196,130,57,1.36,582,25.7,1.5,4,35.08
FXW-061,78.7,1.68,191,132,70,1.28,1319,21.1,3.5,2,20.39
DBV-895,57.8,1.87,172,142,54,1.46,1741,28.7,3.5,3,13.33
QAG-577,95.6,1.5,196,152,56,0.5,639,25.2,3.2,2,13.38
YDF-320,69.1,1.63,198,138,57,2,1549,21.4,3.3,2,31.27
EIE-473,46.7,1.65,164,159,68,1.81,1563,15.8,2.5,4,19.8
AYJ-639,117.8,1.88,168,167,55,1.35,1259,32.3,1.6,3,14.24
HVH-557,40,1.76,,143,71,1.08,1442,25.7,3.3,5,12.32
YVT-295,48.9,1.7,168,156,65,1.4,1776,32.5,2.1,,21.36
RNM-417,52.4,1.86,166,130,59,1.53,880,21.6,1.5,4,12.32
PEG-866,96.5,1.8,187,155,68,0.92,1465,29.3,3.2,3,12.32
CVJ-381,70.5,1.65,192,162,50,0.63,1186,27.1,2.6,2,20.02
AGC-463,58.7,1.69,189,135,,1.37,1231,26.6,3.3,2,23.64
FEE-772,64.7,2,184,169,55,1.46,860,32.4,2.5,5,20.45
VAV-699,90,1.58,172,164,60,0.78,682,25,3.2,4,12.32
EST-075,64.3,1.58,160,123,62,1.02,1360,22,3.4,4,19.45
YFI-063,52.3,1.74,184,122,65,1.38,915,10,3.5,4,18.17
AZK-628,83,1.74,160,120,72,1.35,1628,21,3.3,5,15.13
GJU-510,75.9,1.81,196,125,55,1.4,1177,30,,3,12.32
IPG-960,85.1,1.79,194,138,55,1.16,829,23.7,2.6,4,19.2
TPD-062,59,1.62,193,162,56,,670,17.6,1.6,5,17.71
ZUH-110,47.4,1.96,161,142,65,1.18,441,18.7,1.6,3,21.34
FBX-911,56.8,1.83,197,152,56,1.22,1193,23.2,1.6,4,
FRT-748,78.2,1.9,180,131,55,0.85,888,16.2,2.3,3,29.89
UCZ-826,69.2,1.73,180,165,70,2,765,23.3,1.8,4,21.96
BJG-831,83.5,1.5,194,142,63,2,767,25.8,2.9,4,12.32
KFM-218,72.9,1.51,190,164,57,1.29,925,22.3,1.5,2,40.08
YAN-960,56.5,1.97,169,151,56,2,1380,28.6,2.6,3,13.2
AJE-516,62.3,1.68,167,122,74,1.69,772,21.1,3.3,,12.98
SKN-380,71.2,1.56,170,140,68,0.79,1014,21.8,3.5,4,13.25
MPC-411,56.8,1.75,183,149,74,1.54,926,25.3,2.6,2,12.32
IEI-536,56.2,1.58,184,141,71,2,640,25.2,1.5,4,
BSR-692,51.4,2,182,158,65,1.07,738,31.7,2.6,4,15.31
OSF-092,40,1.89,162,126,60,0.74,1237,24.7,2.9,3,17.09
JZK-961,40.9,1.75,187,136,50,1.14,1135,24.8,3.4,3,12.32
HUB-316,114.9,1.61,180,120,56,1.27,891,28,3.3,3,22.67
OLP-300,59.6,1.81,160,146,71,1.54,1382,22.6,2.8,5,12.32
UOK-289,73.2,1.58,175,169,,1.54,1226,25,2.4,3,24.85
OSM-964,55.4,1.8,164,163,73,1.33,783,27.1,1.5,2,18.71
QTY-247,40,1.8,160,136,62,1.85,1113,16.8,1.7,3,16.37
YQK-082,52.6,1.78,176,169,53,1.15,1384,31.1,2.4,3,21.08
IFF-450,88,2,193,128,70,1.24,399,23.9,2.8,3,31.33
CBW-709,40,1.87,161,,74,1.5,1200,23.7,3.3,4,13.11
TBV-949,51.2,1.92,187,169,55,1.1,969,25.3,2.7,2,16.98
JCI-616,60.5,1.88,166,149,63,,907,23.5,3.1,4,15.38
ZEY-481,68,1.74,175,120,68,1.01,694,24.5,3.5,5,17.47
VWA-628,62.1,1.83,168,149,51,1.39,1135,26.1,2,3,21.35
SYN-473,90.5,1.5,182,148,67,1.16,1204,23.3,2.8,2,15.69
ICG-986,68.6,1.8,196,138,65,1.08,578,16.8,2.6,2,21.41
BMV-207,41.5,1.89,188,129,59,1.35,532,27.6,3.4,3,20.79
NQX-320,86.5,1.65,196,169,59,1.08,771,27.3,2.1,3,12.9
RLW-891,68.3,1.74,184,161,51,1.9,566,27.5,3.5,4,16.26
YVF-240,47.6,1.51,175,120,70,0.78,583,22.6,1.7,5,13.71
DMD-794,44,1.79,193,164,62,1.84,622,26.3,3.5,4,14.27
LON-037,58.5,1.87,183,128,74,1.36,1034,24.8,3.3,4,24.49
JCW-890,40,2,173,126,50,1.1,1783,31.9,1.6,3,34.62
UNC-815,48.3,1.73,193,136,62,1.98,1404,22,3.5,3,13.22
QSC-496,54,1.71,191,169,71,1.23,730,29,2.7,2,15.39
DNW-637,91.8,1.82,171,140,52,2,1065,16.1,2.7,4,24.37
CFB-489,73,1.61,188,131,60,0.56,864,27.4,3.6,2,12.36
CNY-152,51.7,1.93,182,158,70,,1783,24.4,2.7,2,16.29
GHD-245,96.9,1.88,181,166,72,1.36,1220,15.8,3.7,3,30.18
LDH-116,81.2,1.56,182,166,66,1.62,1148,25.5,2.7,4,31.34
RBN-392,55.6,1.73,175,120,71,1.09,775,17.2,3,4,22.74
FHZ-797,65.3,1.74,178,168,63,1.12,984,25.6,3.3,4,19.87
IZL-628,46,1.71,175,126,59,1.18,1725,26.1,1.5,2,15.44
BPA-284,47.3,1.92,189,155,74,1.4,505,29.5,3.4,5,12.34
AYU-209,103.6,1.88,175,154,60,1.55,436,20.9,3.2,3,13.85
UKT-791,74.2,1.58,177,140,71,1.28,780,23.6,1.9,4,30.92
MKJ-256,45.7,1.63,199,144,71,0.94,1137,19.6,1.8,2,12.32
RAQ-202,44.3,1.65,189,129,56,1.9,972,27.8,3.3,2,15.86
YEX-189,63.6,1.74,199,135,61,1.31,486,26.1,2.2,2,25.85
CZS-176,87.1,1.9,196,122,51,1.42,1153,27.6,3.3,3,36.55
DHD-634,51.3,1.69,174,153,74,1.18,828,16.1,2.6,3,21.88
GZI-007,80,1.59,198,125,70,1.68,1263,15.3,3.6,3,14.62
HNX-522,95.5,1.57,181,158,67,1.47,1609,32.5,2,4,26.3
KEP-097,91.2,1.66,167,129,60,1.27,314,30.8,3.4,5,21.76
UWA-118,86.3,1.71,191,150,50,1.33,1166,33.3,1.8,3,18.7
QCG-683,62.8,1.68,177,163,53,2,1005,25.9,2.9,4,19.91
VRP-847,70.3,1.87,191,127,62,1.75,1285,23.9,1.5,2,14.32
OWL-479,64,1.83,187,155,74,1.79,406,27.7,1.5,3,31.31
NIS-605,65.7,1.84,165,146,74,1.59,954,17.8,2.8,5,16.06
BGM-244,40,1.82,168,120,74,1.28,303,25,3.6,3,17.95
IOR-633,45.1,1.6,195,163,66,2,453,31.2,1.6,2,22.88
RRI-407,59,1.68,,132,56,1.17,1186,24.2,3.4,3,14.37
SOK-507,41.3,1.73,180,156,74,1.55,1285,26.2,3.2,4,14.93
VCL-939,89,1.61,,160,74,1.3,827,23.8,3.1,3,30.63
EDV-922,62.5,1.58,175,137,51,2,1231,32.2,3.6,4,36.26
FMF-717,50.5,2,177,129,70,1.33,1213,26.6,,2,16.2
ZFO-467,92.2,1.71,194,141,59,2,1580,32.9,2.4,4,
TGK-761,91.2,1.82,181,158,74,1.49,1263,26.9,1.8,2,12.74
FQJ-557,102.6,1.67,190,132,73,1.41,800,28.3,1.5,3,18.79
CGK-311,105.7,2,187,145,58,1.48,1002,25.9,2.5,3,43.01
PJG-129,72.7,2,190,131,56,1.33,1126,12.6,3.6,2,23.15
BVZ-092,58.8,1.89,163,150,73,1.28,800,27.1,2.5,2,15.86
MXN-922,79,1.62,177,169,73,1,887,25,3.5,2,12.32
SGY-822,84.5,1.84,171,128,63,0.7,1067,32,2.4,2,12.32
NJH-546,80.9,1.74,181,128,61,1.19,1705,10,2.7,4,12.32
VYP-426,83.4,1.7,162,169,51,1.87,879,26.4,3.3,4,21.68
BBR-301,45.5,2,169,164,60,1.82,1297,24.9,2.2,3,17.6
YBH-874,79.7,1.92,192,,53,1.29,1187,25.3,3.5,5,45.54
SAJ-752,50.5,1.76,192,156,72,1.25,768,12.8,1.7,4,16.06
QAI-931,57.2,1.82,184,140,74,1.15,888,26.9,2.6,4,15.23
EZS-680,64.3,1.65,183,169,67,1.28,1783,20,3.2,2,20.59
PBE-123,63.9,1.67,178,144,61,1.56,868,24.8,2.4,3,24.51
KSE-857,65.9,,180,151,56,1.66,825,10,2.5,,15.58
FUJ-880,74.9,1.66,192,138,58,1.73,1766,28.7,2.3,5,15.98
UMT-707,73.3,1.5,185,169,67,1.38,433,30.6,1.5,4,22.55
ASD-220,44.2,1.9,174,159,50,1.1,1293,25.7,2.5,4,19.26
WLQ-156,85.1,1.98,185,148,58,1.29,785,22.5,3.5,4,14.37
RLE-703,56.8,,191,150,61,2,1183,24.3,1.7,3,19.28
AOB-388,40.8,1.69,194,145,54,1.65,1353,24.4,2.5,4,22.31
HIX-820,59.2,1.84,168,160,51,1.53,1476,25.1,3.7,4,13.81
PHY-692,83.1,1.72,182,167,67,0.89,771,23.8,2.3,4,12.32
XSN-339,72.5,1.78,177,142,67,1.99,1047,27.4,3,4,12.32
CND-986,45.5,1.58,182,136,69,2,1137,17.4,1.7,2,15.04
GYV-907,113.3,1.75,187,155,74,1.44,564,22.1,1.6,3,21.36
ULA-214,40,1.68,175,123,66,0.74,1783,27.9,3.5,3,14.27
PJM-318,70.7,1.7,165,160,53,0.99,808,23.5,2.1,3,18.29
TCY-634,102.8,2,166,131,73,1.28,1783,27.1,3.2,,14.05
MDL-228,64.6,1.51,194,127,55,1.4,1155,26.9,3.5,2,17.74
CSK-369,42.2,1.82,185,140,56,0.86,373,17.9,3.5,4,29.27
JLJ-907,48.8,1.84,186,168,65,1.68,972,25,1.7,3,16.6
QLC-485,61.3,1.77,173,167,50,1.88,1760,35,3.1,4,17.69
CMB-638,68.8,1.73,182,133,74,1.65,851,28.8,1.8,3,12.32
LKE-480,100.4,1.76,173,169,58,0.85,1465,30.4,1.8,3,17.45
MOH-946,58.2,1.64,165,169,71,1.92,984,20.8,3.3,4,19.05
NRX-814,76.2,1.87,184,148,69,1.96,809,26.2,2.3,3,17.02
GLV-225,72.6,1.7,161,168,51,1.28,1262,22,3.1,4,16.45
TTK-118,61.4,1.7,172,166,72,1.28,1064,32.5,3,3,19.45
PZJ-384,51,1.76,167,127,70,0.72,1119,25.1,2.6,4,12.64
PTK-165,85.5,1.8,168,156,69,1.39,644,15.7,3.3,2,12.32
QGX-463,74.6,1.63,182,160,60,0.93,1028,14.8,3.5,3,18.08
CMV-883,40,1.56,195,132,57,0.65,499,16.7,3.4,3,12.32
PLG-127,61.1,1.72,176,162,53,0.92,1378,15,3.4,4,12.62
QNQ-489,102.4,1.68,188,141,56,1.66,1553,18.6,1.7,2,16.38
AWN-498,56.9,1.61,183,130,,1.33,804,20.1,1.5,4,23.68
BPW-912,62.4,1.59,166,151,66,1.27,903,11,3,4,32.63
IHO-174,79,1.68,195,158,61,2,1410,31.1,2.5,5,14.2
QQT-756,84.7,1.83,166,156,73,1,833,27.9,2.8,5,33.49
ZAJ-567,129.9,1.71,196,136,74,1.27,931,26.6,1.8,5,21.04
LXQ-630,88.8,1.7,193,169,68,1.91,1145,18.1,3.7,2,30.34
BSI-389,55.7,1.99,172,142,68,2,1583,18.9,3.2,4,12.32
UFW-599,47.1,1.61,189,138,52,1.26,1095,19.3,3.6,3,29.91
QKN-929,59.8,1.6,180,151,58,1.2,611,16.4,2.5,3,12.63
DRB-719,61,1.97,172,140,74,1.99,1298,21.8,2.6,,24.27
LXK-846,,1.77,164,147,56,1.2,1091,30.8,1.6,3,21.49
JRZ-853,85.8,1.87,188,162,58,1.33,938,24.3,,4,18.34
PRU-027,86.6,,192,120,59,1.75,1102,19,1.8,3,17.94
TUJ-034,42.2,1.91,174,127,72,1.65,455,23.6,2.9,3,24.27
LTV-105,43.2,1.8,185,149,52,1.87,1019,23.5,2.1,4,27.59
YHM-563,80.6,1.86,195,127,53,2,564,23.1,1.5,3,29.21
CPW-647,64.7,1.75,172,157,52,1.35,1193,23.5,1.6,3,18.21
JWR-344,71.2,2,169,159,52,1.42,749,29.8,3.5,4,27.16
DTF-816,122.7,,191,151,72,1.14,524,24.3,1.5,2,17.44
EEJ-670,63.9,1.75,199,121,72,2,638,23.6,3.4,4,23.96
WFK-929,56.7,1.73,168,144,71,0.68,1129,25.5,3.4,3,19.65
KHJ-568,40,1.72,164,169,58,0.89,1198,17,1.6,5,20.71
MSD-558,91.7,1.58,167,120,52,1.65,1334,29.2,2.6,2,
UJW-066,62,1.65,199,142,56,1.61,1361,35,3.5,2,13.96
ECG-580,72.8,1.57,196,138,61,1.04,1382,29.8,3.4,2,16.61
ADZ-305,92.2,1.59,176,143,55,1.57,1050,24.5,2.4,4,23
QZV-112,57.8,1.61,162,135,65,1.91,684,18.2,3.7,3,12.32
WZW-680,89.2,1.81,161,169,61,1.34,820,23.5,2.6,4,27.63
VYE-181,78.3,1.58,184,141,68,1.5,1436,15,3.7,3,28.61
XDW-314,54.2,1.64,190,151,65,0.82,1184,16.7,3.3,2,19.39
XXC-298,55.4,2,,124,62,1.22,1292,26.8,2.4,3,19.35
CFP-152,79.7,1.64,194,148,55,2,1462,21.8,3.2,4,26.9
EVC-364,62.9,1.69,192,139,69,1.77,,28.8,3.4,4,12.32
OFW-956,83.6,1.79,171,128,72,0.7,1247,25.4,3.2,3,27.91
VAT-329,64.7,1.61,197,137,74,1.48,1088,25.1,2.2,5,24.23
XCR-774,63.6,1.77,173,145,55,1.29,1586,18.9,2.8,3,22.45
LAG-006,55.9,1.61,192,,74,1,1133,21.1,2.6,5,21.42
GPN-187,92.4,1.59,165,169,55,1.49,1783,24.9,1.5,4,22.09
JTI-817,64.1,1.68,190,168,55,1.35,1175,28.1,3.4,2,39.84
PNA-759,91.3,1.63,186,156,67,0.92,1091,22.6,2.4,,19.46
ETK-761,64.3,1.7,192,140,65,1.51,1236,33.9,3.6,3,39.07
VNR-651,77.2,1.64,168,162,64,1.25,438,22.7,2.4,4,30.85
ZLG-739,75,1.91,181,168,74,1.1,943,24.8,2,3,21.87
VBE-759,61.5,1.51,185,155,74,1.35,1079,31.4,3.4,4,21.29
DXL-722,72.4,1.68,196,169,53,2,1082,29.8,2.5,2,21.68
JXZ-524,68.6,1.7,172,167,57,1.32,501,25.4,1.5,3,18.29
PNQ-416,82.2,1.69,189,139,70,1.45,1184,10,2.5,5,18.01
CWL-652,68.6,1.75,184,140,60,1.26,681,29.4,1.8,3,20.02
ASF-391,64.6,1.82,196,165,55,1.46,1699,28.1,3.3,4,19.63
XSE-194,83.1,1.52,163,139,51,1.95,925,10,2.8,3,20.05
QFW-379,44,1.6,190,125,68,1.06,1246,21.1,2.7,2,15.5
IFJ-878,58.6,1.78,198,143,74,1.59,1008,21.1,2.2,3,44.77
XWG-673,65,1.69,171,162,62,1.54,1066,16.6,3.5,2,29.56
IJH-313,51.9,1.9,182,129,55,2,1418,32.2,2.4,2,20.41
VCP-596,110.3,1.94,171,,51,1.25,1376,30,3.7,3,12.32
WTX-583,65.9,1.99,166,127,71,1.08,1218,22,2.6,4,13.91
OVU-275,95.2,1.68,163,142,68,0.71,1196,24.2,3.7,4,19.46
VDB-061,78.6,1.65,198,127,66,1.61,938,26.8,3.1,3,17.92
HBO-235,58.7,1.98,199,145,52,2,1119,23,2.7,2,18.99
GXT-119,52.3,1.75,180,128,61,1.92,931,15,2.5,4,23.23
FSS-529,96.3,1.61,198,159,70,1.16,1203,32.1,3.1,3,12.32
MIO-350,72.8,1.82,162,136,57,1.23,780,11.4,3.5,4,22.59
BED-036,40,1.57,178,169,52,1.32,949,28.4,3.1,3,21.11
TZE-711,75.1,1.86,175,165,70,1.29,765,27,3.5,4,14.22
VBO-496,71.3,,168,162,71,1.93,1105,28.9,2.7,4,12.32
SRD-916,40,1.76,183,125,60,1.04,1783,21.9,3.3,4,12.32
EXW-254,70.1,1.58,169,156,63,0.82,797,28.1,3.4,3,24.04
DHA-211,89.7,1.67,172,130,64,1.46,729,27.7,3.4,4,17.56
VGE-237,112.6,1.79,174,167,60,0.69,1282,28.6,1.5,2,22.96
HOX-220,52.3,1.6,177,124,66,0.93,416,22.5,,5,31.64
YBH-990,55.4,1.72,186,153,74,2,1281,10.9,2.4,4,14.56
OPG-637,91.9,1.5,185,154,60,1.08,825,28.8,3.2,5,21.07
MBJ-379,100.7,1.75,163,166,61,1.28,1159,28.1,3.7,3,12.32
BIS-367,52.3,1.77,193,130,57,2,993,25.6,,4,15.08
WTB-603,56.4,1.76,198,129,71,1.79,488,22.9,3.3,4,17.49
JKD-049,41,1.82,171,138,53,1.47,1273,29.1,2.4,4,12.35
IGH-008,40,1.68,166,128,59,1.6,1112,10,2.6,4,19.67
IJK-217,60.1,1.94,184,162,74,2,,27.2,3.4,3,14.02
AUE-056,55.8,1.67,192,167,74,2,642,28.8,3.4,3,28.68
YQK-404,96.8,1.73,174,136,71,1.91,887,31.7,2.6,3,19.05
KFO-240,73.5,1.92,168,155,50,1.18,1048,14.2,3.4,5,18.37
ESH-238,40,1.72,178,132,72,0.83,857,27.3,3.2,4,17.8
SKK-888,55,1.68,169,136,64,1.07,1389,24.6,2.1,4,18.54
BHD-231,57.4,1.89,193,128,51,0.92,1121,22.4,3.5,4,16
NMQ-154,62.5,1.67,186,129,65,1.2,1783,23.2,1.5,3,26.22
ZVT-089,40,1.85,177,156,65,1.58,1014,24,3.7,5,22.49
BRD-959,80,1.86,177,153,74,0.9,886,25.1,1.6,2,19.41
ACL-181,45.6,,177,146,74,2,1108,18,2.9,4,26.74
SZM-615,55.4,1.88,187,134,53,2,855,16.3,2.6,5,14.33
WSG-358,41.4,1.69,191,169,56,1.99,647,23.2,2.8,5,16.26
MXY-066,75.4,1.58,192,169,63,1.3,1386,16.9,3.6,3,15.63
XQC-729,63.7,1.86,183,,70,0.91,759,24.5,3.5,3,18.88
ORH-704,63.3,1.9,183,148,67,0.58,933,20,3.2,4,22.45
YOA-258,62.9,1.73,187,157,54,0.99,569,27.9,2.4,4,28.52
LRE-722,75.2,1.96,172,132,61,1.22,829,14.9,2.7,3,21.52
JWL-660,50.3,1.66,180,131,74,1.12,677,27.6,1.8,2,39.72
RMP-561,53.7,1.75,167,137,74,2,788,13.3,2.6,3,16.24
QYX-273,43.4,1.71,184,165,71,1.24,945,10,3.6,2,25.15
ZLG-722,61.1,1.59,182,139,68,1.09,669,16.7,1.5,3,12.32
WXX-754,,1.81,176,169,64,1.37,1783,28.5,1.5,3,16.6
MYD-803,40,1.76,192,169,56,2,602,28,3.4,3,31.97
MWX-335,66.6,1.7,171,149,73,1.43,1321,26.6,3.3,4,13.51
LUU-638,83.5,1.67,162,129,65,1.48,1517,25.8,3.3,2,18.45
XBA-354,77.7,1.76,167,131,74,1.36,448,24.9,2.1,5,23.19
HKI-575,72.5,1.88,181,162,69,1.21,1120,34.6,3.4,4,27.76
SXS-197,42.5,1.61,183,155,71,2,933,22.9,1.6,2,
ECS-051,44.1,1.56,169,,72,1.34,1124,10,3.1,2,20.18
UNQ-683,59.6,1.73,182,139,71,1.42,1321,16.3,3.3,4,16.62
UNO-184,53,1.91,172,123,54,1.09,655,34.4,3.1,3,21.18
FUP-849,56.3,1.7,191,134,72,1.61,1631,23.4,3.3,3,30.84
JJD-537,50.6,2,174,129,68,1.34,1179,31,2,5,24.12
PQO-183,64.2,1.89,188,143,51,2,1662,23,3.1,4,17.41
ARN-390,40,1.8,162,140,74,1.42,901,22.2,2.5,5,29.73
DET-734,62.4,1.56,193,141,55,2,861,32.2,3.6,3,18.61
XTG-926,68,1.7,174,155,68,0.74,1464,17,2.3,3,21.67
UAM-873,84.4,1.74,182,142,52,1.45,1392,22,2.6,2,34.01
YBT-236,60.7,1.73,198,124,70,1.34,1212,24.8,2,2,20.21
TXQ-848,107.7,1.99,188,129,55,2,1127,10,2,2,17.86
PTQ-859,70,1.74,198,169,69,2,1468,28.4,2.8,4,21.91
JOK-078,74.2,1.5,191,129,72,1.77,848,17.3,1.5,3,24.11
LOO-968,73.2,1.76,171,159,61,1.21,973,26.4,2,4,12.32
UTM-738,81.7,1.81,177,130,50,1.45,507,23.2,1.7,3,34.26
EIQ-241,85.6,1.54,168,128,59,1.45,860,14.9,2.4,4,12.32
GJX-492,91.6,1.68,191,128,59,0.68,1783,19.1,2.6,2,12.48
GUX-614,74.7,1.69,163,158,58,1.37,854,14,3.4,4,13.79
SLB-945,62.1,1.68,191,130,74,0.85,1098,13.9,2.8,4,28.14
UWT-928,87.3,1.51,190,168,56,2,1306,32,2.3,4,14.46
VVD-053,40,1.57,165,169,68,1.04,669,30.2,2.6,2,15.05
LIK-029,65.3,1.68,161,145,73,0.72,408,32.4,1.7,5,25.26
RYS-635,69.3,1.61,187,140,53,1.12,998,17.6,2.8,,32.49
ETS-475,48.7,1.6,175,133,59,1.38,996,23.5,1.5,2,21.98
CNG-848,67.1,1.9,184,169,59,1.61,587,20.8,2.7,3,12.32
KKA-472,93.7,1.77,192,142,57,1.45,1230,14.8,3.6,2,23.62
GBG-189,44.7,1.68,166,160,62,0.99,1672,28.6,1.5,2,17.59
CQN-990,50.3,1.81,176,156,70,1.46,1143,31.8,1.9,3,26.47
PRE-132,59.9,1.7,169,163,65,1.26,1474,11.7,2.9,4,33.85
HAI-109,56.5,1.73,198,136,74,1.23,991,14.5,3.6,5,13.82
QJT-045,51.1,1.66,161,154,65,0.86,944,31.1,3.3,5,19.67
DGW-139,40,1.81,194,164,57,1.57,1070,21.3,3.4,3,37.33
ULD-722,88.5,1.64,160,163,50,1.25,1190,31.7,3.2,3,26.98
EDA-337,69.3,1.99,183,154,62,1.97,827,14.4,1.5,4,18.72
YPR-481,45,1.8,187,162,74,1.82,1395,23.2,2.7,4,12.32
LTU-556,77.2,1.86,180,133,,1.55,1710,26.5,1.6,4,17.34
ILU-413,68.8,1.73,198,169,66,1.46,1279,31.4,1.6,3,12.38
VZJ-794,64.1,1.82,170,120,57,1.53,686,16.3,2.7,2,13.85
QFJ-533,109.4,1.58,170,165,74,1.94,619,21.9,2.2,5,21.16
NDV-163,101.9,1.5,196,164,56,1.87,1211,23.8,3.2,2,15.07
SHA-420,75.7,1.85,160,157,64,1.59,1179,29.7,1.5,3,37.5
FEM-641,40.3,1.69,166,169,69,0.5,864,24.9,2.6,3,20.42
VOM-761,91.2,1.77,164,162,55,1.28,648,25.4,3.3,2,18.88
HRX-892,64.1,1.55,179,152,52,1.41,1091,31.1,3.3,4,18.43
XTI-260,121.1,1.75,163,149,68,1.57,716,21,3.3,5,26.5
WGC-344,61.1,1.74,163,156,59,1.89,1277,21.5,3.4,2,
IQB-904,59.3,1.79,189,128,69,0.91,877,24.8,2.1,4,28.16
FGL-264,58,1.77,179,157,74,1.59,1145,21.3,1.5,2,14.72
QGD-920,74.9,1.74,196,163,54,1.24,1144,30.7,1.6,2,25.53
YUH-735,59.2,1.68,187,127,54,1.53,466,27.3,2.9,2,12.32
HET-426,77.8,1.62,164,161,70,1.52,1095,23.1,3.5,5,21.22
QYL-301,67.8,1.57,198,135,67,2,1062,30.5,1.5,3,14.86
QLU-803,43.3,1.78,193,128,72,1.27,1479,26.3,3.4,3,31.04
VGC-291,82.4,1.57,171,169,55,1.07,1218,31,2.5,4,12.47
BAD-177,93.2,1.71,176,149,60,1.4,1348,27.2,2.1,,14.12
KAD-508,96.7,1.7,175,141,54,2,880,32.9,2.3,2,13.16
JQS-293,72,1.66,167,144,68,0.87,1248,10,3.6,4,17.55
ASN-476,95.3,1.72,190,169,74,1.49,733,29.2,3.7,5,20.06
XRA-285,60.6,1.76,188,148,50,1.38,676,30.2,2.5,3,23.73
